datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
19961101-11:00,Smoke,9,0,0,,27,,1010,0,0,30,0,0,5,280,West,,,7.4
19961101-12:00,Smoke,10,0,0,,32,,-9999,0,0,28,0,0,,0,North,,,
19961101-13:00,Smoke,11,0,0,,44,,-9999,0,0,24,0,0,,0,North,,,
19961101-14:00,Smoke,10,0,0,,41,,1010,0,0,24,0,0,2,0,North,,,
19961101-16:00,Smoke,11,0,0,,47,,1011,0,0,23,0,0,1.2,0,North,,,0
19961101-17:00,Smoke,12,0,0,,56,,1011,0,0,21,0,0,,0,North,,,
19961101-18:00,Smoke,13,0,0,,60,,1010,0,0,21,0,0,0.8,0,North,,,0
19961101-19:00,Smoke,13,0,0,,60,,-9999,0,0,21,0,0,,0,North,,,
19961101-20:00,Smoke,13,0,0,,68,,-9999,0,0,19,0,0,,0,North,,,
19961101-21:00,Smoke,13,0,0,,68,,1010,0,0,19,0,0,,0,North,,,
19961101-22:00,Smoke,13,0,0,,68,,1009,0,0,19,0,0,,0,North,,,
19961101-23:00,Smoke,12,0,0,,64,,1009,0,0,19,0,0,,0,North,,,
19961102-00:00,Smoke,11,0,0,,60,,1010,0,0,19,0,0,,0,North,,,
19961102-01:00,Smoke,11,0,0,,60,,1010,0,0,19,0,0,,0,North,,,
19961102-02:00,Smoke,10,0,0,,52,,1011,0,0,20,0,0,2,200,SSW,,,9.3
19961102-03:00,Smoke,10,0,0,,46,,1012,0,0,22,0,0,3.5,240,WSW,,,9.3
19961102-04:00,Smoke,10,0,0,,44,,1012,0,0,23,0,0,4.5,250,WSW,,,20.4
19961102-05:00,Smoke,11,0,0,,39,,1012,0,0,26,0,0,5,240,WSW,,,13
19961102-06:00,Clear,10,0,0,,32,,1011,0,0,28,0,0,6,260,West,,,16.7
19961102-07:00,Clear,10,0,0,,29,,1010,0,0,30,0,0,7,250,WSW,,,22.2
19961102-08:00,Clear,8,0,0,,24,,1009,0,0,31,0,0,7,280,West,,,18.5
19961102-09:00,Clear,7,0,0,,22,,1009,0,0,31,0,0,6,270,West,,,22.2
19961102-10:00,Clear,7,0,0,,22,,1009,0,0,31,0,0,6,280,West,,,14.8
19961102-11:00,Smoke,8,0,0,,25,,1009,0,0,30,0,0,5,270,West,,,14.8
